date,temperature
2022/3/1,11
2022/3/2,12
2022/3/3,10
2022/3/4,8
2022/3/5,11
2022/3/6,9
2022/3/7,9
2022/3/8,6
2022/3/9,8
2022/3/10,10
2022/3/11,0
2022/3/12,0
2022/3/13,0
2022/3/14,0
2022/3/15,0
2022/3/16,0
2022/3/17,0
2022/3/18,0
2022/3/19,0
2022/3/20,0
2022/3/21,0
2022/3/22,0
2022/3/23,0
2022/3/24,0
2022/3/25,0
2022/3/26,0
2022/3/27,0
2022/3/28,0
2022/3/29,0
2022/3/30,0
2022/3/31,0
2022/4/1,0
2022/4/2,0
2022/4/3,0
2022/4/4,0
2022/4/5,0
2022/4/6,0
2022/4/7,0
2022/4/8,0
2022/4/9,0
2022/4/10,0
2022/4/11,0
2022/4/12,0
2022/4/13,0
2022/4/14,0
2022/4/15,0
2022/4/16,0
2022/4/17,0
2022/4/18,0
2022/4/19,0
2022/4/20,0
2022/4/21,0
2022/4/22,0
2022/4/23,0
2022/4/24,0
2022/4/25,0
2022/4/26,0
2022/4/27,0
2022/4/28,0
2022/4/29,0
2022/4/30,0
2022/5/1,0
2022/5/2,0
2022/5/3,0
2022/5/4,0
2022/5/5,0
2022/5/6,0
2022/5/7,0
2022/5/8,0
2022/5/9,0
2022/5/10,0
2022/5/11,0
2022/5/12,0
2022/5/13,0
2022/5/14,0
2022/5/15,0
2022/5/16,0
2022/5/17,0
2022/5/18,0
2022/5/19,0
2022/5/20,0
2022/5/21,0
2022/5/22,0
2022/5/23,0
2022/5/24,0
2022/5/25,0
2022/5/26,0
2022/5/27,0
2022/5/28,0
2022/5/29,0
2022/5/30,0
2022/5/31,0
