date,temperature,flower_status
2010/3/1,10.3,0
2010/3/2,5.8,0
2010/3/3,7.9,0
2010/3/4,7.6,0
2010/3/5,11.3,0
2010/3/6,11.4,0
2010/3/7,6.7,0
2010/3/8,5.8,0
2010/3/9,3.8,0
2010/3/10,6.1,0
2010/3/11,8.9,0
2010/3/12,10.5,0
2010/3/13,16.7,0
2010/3/14,10.0,0
2010/3/15,13.4,0
2010/3/16,16.3,0
2010/3/17,9.6,0
2010/3/18,9.9,0
2010/3/19,8.3,0
2010/3/20,15.4,0
2010/3/21,14.8,0
2010/3/22,9.4,0
2010/3/23,10.8,bloom starts
2010/3/24,7.2,0
2010/3/25,5.7,0
2010/3/26,8.5,0
2010/3/27,8.4,0
2010/3/28,5.8,0
2010/3/29,4.6,0
2010/3/30,5.5,0
2010/3/31,9.8,0
2010/4/1,15.4,full
2010/4/2,16.1,0
2010/4/3,10.9,0
2010/4/4,8.9,0
2010/4/5,9.4,0
2010/4/6,14.0,0
2010/4/7,12.2,0
2010/4/8,8.8,scatter
2010/4/9,10.2,0
2010/4/10,15.0,0
2010/4/11,16.0,0
2010/4/12,9.0,0
2010/4/13,14.0,0
2010/4/14,13.8,0
2010/4/15,7.3,0
2010/4/16,5.8,0
2010/4/17,5.7,0
2010/4/18,11.2,0
2010/4/19,14.6,0
2010/4/20,15.8,0
2010/4/21,17.2,0
2010/4/22,9.3,0
2010/4/23,8.4,0
2010/4/24,10.8,0
2010/4/25,12.3,0
2010/4/26,13.7,0
2010/4/27,12.8,0
2010/4/28,14.0,0
2010/4/29,18.6,0
2010/4/30,15.1,0
2010/5/1,16.0,0
2010/5/2,16.8,0
2010/5/3,18.4,0
2010/5/4,19.7,0
2010/5/5,20.1,0
2010/5/6,20.9,0
2010/5/7,19.9,0
2010/5/8,19.2,0
2010/5/9,20.1,0
2010/5/10,18.5,0
2010/5/11,16.9,0
2010/5/12,16.6,0
2010/5/13,16.4,0
2010/5/14,14.8,0
2010/5/15,14.7,0
2010/5/16,16.7,0
2010/5/17,19.5,0
2010/5/18,21.4,0
2010/5/19,20.6,0
2010/5/20,19.8,0
2010/5/21,23.1,0
2010/5/22,22.3,0
2010/5/23,18.2,0
2010/5/24,18.3,0
2010/5/25,23.3,0
2010/5/26,18.3,0
2010/5/27,17.0,0
2010/5/28,18.1,0
2010/5/29,16.1,0
2010/5/30,14.7,0
2010/5/31,16.9,0
2011/3/1,5.9,0
2011/3/2,6.9,0
2011/3/3,4.4,0
2011/3/4,4.7,0
2011/3/5,6.8,0
2011/3/6,8.8,0
2011/3/7,4.7,0
2011/3/8,6.6,0
2011/3/9,7.7,0
2011/3/10,5.8,0
2011/3/11,6.7,0
2011/3/12,7.6,0
2011/3/13,11.0,0
2011/3/14,14.6,0
2011/3/15,11.2,0
2011/3/16,7.4,0
2011/3/17,5.1,0
2011/3/18,5.9,0
2011/3/19,12.9,0
2011/3/20,14.1,0
2011/3/21,11.6,0
2011/3/22,7.3,0
2011/3/23,6.5,0
2011/3/24,5.4,0
2011/3/25,7.7,0
2011/3/26,8.3,0
2011/3/27,7.5,0
2011/3/28,8.1,0
2011/3/29,10.3,0
2011/3/30,11.7,bloom starts
2011/3/31,9.8,0
2011/4/1,11.1,0
2011/4/2,12.8,0
2011/4/3,8.2,0
2011/4/4,9.3,0
2011/4/5,9.6,0
2011/4/6,12.7,0
2011/4/7,15.9,0
2011/4/8,17.0,full
2011/4/9,16.6,0
2011/4/10,12.9,0
2011/4/11,14.1,0
2011/4/12,10.9,0
2011/4/13,13.8,0
2011/4/14,15.9,scatter
2011/4/15,18.6,0
2011/4/16,18.1,0
2011/4/17,13.2,0
2011/4/18,14.6,0
2011/4/19,12.6,0
2011/4/20,10.6,0
2011/4/21,12.2,0
2011/4/22,15.2,0
2011/4/23,16.6,0
2011/4/24,16.7,0
2011/4/25,15.2,0
2011/4/26,16.3,0
2011/4/27,19.9,0
2011/4/28,19.3,0
2011/4/29,15.1,0
2011/4/30,17.7,0
2011/5/1,18.5,0
2011/5/2,19.2,0
2011/5/3,16.1,0
2011/5/4,16.7,0
2011/5/5,15.5,0
2011/5/6,15.5,0
2011/5/7,17.0,0
2011/5/8,19.6,0
2011/5/9,19.6,0
2011/5/10,21.8,0
2011/5/11,15.3,0
2011/5/12,15.7,0
2011/5/13,19.4,0
2011/5/14,19.9,0
2011/5/15,20.0,0
2011/5/16,20.0,0
2011/5/17,17.8,0
2011/5/18,18.3,0
2011/5/19,20.2,0
2011/5/20,21.4,0
2011/5/21,22.0,0
2011/5/22,21.3,0
2011/5/23,15.9,0
2011/5/24,14.4,0
2011/5/25,18.2,0
2011/5/26,18.7,0
2011/5/27,18.4,0
2011/5/28,18.4,0
2011/5/29,18.2,0
2011/5/30,17.9,0
2011/5/31,15.4,0
2012/3/1,8.2,0
2012/3/2,7.3,0
2012/3/3,6.9,0
2012/3/4,5.7,0
2012/3/5,5.8,0
2012/3/6,10.8,0
2012/3/7,11.4,0
2012/3/8,9.1,0
2012/3/9,7.6,0
2012/3/10,5.5,0
2012/3/11,6.1,0
2012/3/12,7.6,0
2012/3/13,6.5,0
2012/3/14,6.8,0
2012/3/15,7.9,0
2012/3/16,7.2,0
2012/3/17,7.4,0
2012/3/18,9.6,0
2012/3/19,9.1,0
2012/3/20,7.8,0
2012/3/21,7.9,0
2012/3/22,9.2,0
2012/3/23,9.6,0
2012/3/24,8.2,0
2012/3/25,9.5,0
2012/3/26,8.2,0
2012/3/27,9.4,0
2012/3/28,10.4,0
2012/3/29,10.8,0
2012/3/30,15.3,0
2012/3/31,14.7,0
2012/4/1,10.4,0
2012/4/2,10.1,0
2012/4/3,14.2,bloom starts
2012/4/4,11.4,0
2012/4/5,14.9,0
2012/4/6,10.5,0
2012/4/7,8.6,0
2012/4/8,9.0,0
2012/4/9,15.9,full
2012/4/10,15.1,0
2012/4/11,15.2,0
2012/4/12,16.1,0
2012/4/13,16.1,scatter
2012/4/14,10.5,0
2012/4/15,11.3,0
2012/4/16,12.1,0
2012/4/17,14.5,0
2012/4/18,14.5,0
2012/4/19,13.8,0
2012/4/20,13.1,0
2012/4/21,12.0,0
2012/4/22,11.4,0
2012/4/23,13.6,0
2012/4/24,17.0,0
2012/4/25,16.9,0
2012/4/26,17.9,0
2012/4/27,16.6,0
2012/4/28,16.9,0
2012/4/29,18.7,0
2012/4/30,18.8,0
2012/5/1,19.0,0
2012/5/2,18.1,0
2012/5/3,17.6,0
2012/5/4,18.1,0
2012/5/5,20.5,0
2012/5/6,20.3,0
2012/5/7,17.4,0
2012/5/8,19.3,0
2012/5/9,18.1,0
2012/5/10,16.3,0
2012/5/11,17.1,0
2012/5/12,16.2,0
2012/5/13,16.1,0
2012/5/14,19.3,0
2012/5/15,18.4,0
2012/5/16,20.6,0
2012/5/17,20.8,0
2012/5/18,18.3,0
2012/5/19,19.3,0
2012/5/20,20.7,0
2012/5/21,19.4,0
2012/5/22,14.7,0
2012/5/23,17.6,0
2012/5/24,20.9,0
2012/5/25,20.2,0
2012/5/26,20.6,0
2012/5/27,21.9,0
2012/5/28,21.3,0
2012/5/29,20.8,0
2012/5/30,19.4,0
2012/5/31,19.3,0
2013/3/1,14.0,0
2013/3/2,8.6,0
2013/3/3,6.3,0
2013/3/4,6.4,0
2013/3/5,7.8,0
2013/3/6,9.5,0
2013/3/7,13.3,0
2013/3/8,18.0,0
2013/3/9,15.2,0
2013/3/10,14.2,0
2013/3/11,7.3,0
2013/3/12,10.6,0
2013/3/13,17.0,0
2013/3/14,8.2,0
2013/3/15,8.9,0
2013/3/16,11.9,0
2013/3/17,12.3,bloom starts
2013/3/18,17.9,0
2013/3/19,17.5,0
2013/3/20,16.8,0
2013/3/21,11.4,0
2013/3/22,12.9,0
2013/3/23,13.2,0
2013/3/24,10.7,0
2013/3/25,9.8,full
2013/3/26,8.7,0
2013/3/27,8.3,0
2013/3/28,13.0,0
2013/3/29,15.2,scatter
2013/3/30,9.2,0
2013/3/31,7.6,0
2013/4/1,10.4,0
2013/4/2,11.1,0
2013/4/3,13.4,0
2013/4/4,15.7,0
2013/4/5,16.9,0
2013/4/6,16.8,0
2013/4/7,17.8,0
2013/4/8,14.2,0
2013/4/9,16.4,0
2013/4/10,13.8,0
2013/4/11,9.3,0
2013/4/12,11.2,0
2013/4/13,11.4,0
2013/4/14,16.3,0
2013/4/15,16.6,0
2013/4/16,15.4,0
2013/4/17,20.4,0
2013/4/18,19.3,0
2013/4/19,14.5,0
2013/4/20,9.2,0
2013/4/21,7.4,0
2013/4/22,11.1,0
2013/4/23,13.8,0
2013/4/24,16.8,0
2013/4/25,16.8,0
2013/4/26,17.2,0
2013/4/27,14.7,0
2013/4/28,15.9,0
2013/4/29,16.7,0
2013/4/30,19.4,0
2013/5/1,13.9,0
2013/5/2,13.4,0
2013/5/3,14.3,0
2013/5/4,15.4,0
2013/5/5,17.2,0
2013/5/6,20.1,0
2013/5/7,15.9,0
2013/5/8,15.9,0
2013/5/9,18.8,0
2013/5/10,20.8,0
2013/5/11,19.1,0
2013/5/12,18.9,0
2013/5/13,18.7,0
2013/5/14,21.3,0
2013/5/15,19.8,0
2013/5/16,19.9,0
2013/5/17,17.2,0
2013/5/18,19.4,0
2013/5/19,20.0,0
2013/5/20,18.7,0
2013/5/21,21.9,0
2013/5/22,21.3,0
2013/5/23,21.3,0
2013/5/24,21.7,0
2013/5/25,17.4,0
2013/5/26,21.3,0
2013/5/27,21.6,0
2013/5/28,21.8,0
2013/5/29,21.7,0
2013/5/30,20.8,0
2013/5/31,21.3,0
